Gene	Transcripts
PALM2-AKAP2	NM_007203.4
PALM3	NM_001145028.1
PALMD	NM_017734.4
PAM	NM_000919.3
PAMR1	NM_001001991.1
PAN2	NM_001127460.2
PAN3	NM_175854.7
PANK1	NM_148977.2
PANK2	NM_153638.2
PANK3	NM_024594.3
PANK4	NM_018216.1
PANX1	NM_015368.3
PANX2	NM_052839.3
PANX3	NM_052959.2
PAOX	NM_152911.2
PAPD4	NM_173797.3
PAPD5	NM_001040284.2
PAPD7	NM_006999.4
PAPL	NM_001004318.2
PAPLN	NM_173462.3
PAPOLA	NM_032632.4
PAPOLB	NM_020144.4
PAPOLG	NM_022894.3
PAPPA	NM_002581.3
PAPPA2	NM_020318.2
PAPSS1	NM_005443.4
PAPSS2	NM_001015880.1
PAQR3	NM_001040202.1
PAQR4	NM_152341.3
PAQR5	NM_017705.3
PAQR6	NM_198406.2
PAQR7	NM_178422.5
PAQR8	NM_133367.4
PAQR9	NM_198504.2
PARD3	NM_019619.3
PARD3B	NM_152526.5
PARD6A	NM_016948.2
PARD6B	NM_032521.2
PARD6G	NM_032510.3
PARG	NM_003631.2
PARK2	NM_004562.2
PARK7	NM_007262.4
PARL	NM_018622.5
PARM1	NM_015393.3
PARN	NM_002582.3
PARP1	NM_001618.3
PARP10	NM_032789.3
PARP11	NM_020367.4
PARP12	NM_022750.2
PARP14	NM_017554.2
PARP15	NM_001113523.1
PARP16	NM_017851.4
PARP2	NM_005484.3
PARP3	NM_001003931.2
PARP4	NM_006437.3
PARP6	NM_020214.2
PARP8	NM_024615.3
PARP9	NM_031458.2
PARPBP	NM_017915.3
PARS2	NM_152268.3
PARVA	NM_018222.4
PARVB	NM_013327.4
PARVG	NM_001137606
PASD1	NM_173493.2
PASK	NM_001252119.1
PATE1	NM_138294.2
PATE2	NM_212555.2
PATE3	NM_001129883.3
PATE4	NM_001144874.1
PATL1	NM_152716.2
PATL2	NM_001145112.1
PATZ1	NM_014323.2
PAWR	NM_002583.2
PAX1	NM_006192.4
PAX2	NM_003990.3
PAX3	NM_181459.3
PAX4	NM_006193.2
PAX5	NM_016734.2
PAX6	NM_001127612.1
PAX7	NM_002584.2
PAX8	NM_003466.3
PAX9	NM_006194.3
PAXIP1	NM_007349.3
PBK	NM_018492.3
PBLD	NM_022129.3
PBOV1	NM_021635.2
PBRM1	NM_018313.4
PBX1	NM_002585.3
PBX2	NM_002586.4
PBX3	NM_006195.5
PBX4	NM_025245.2
PBXIP1	NM_020524.2
PC	NM_022172.2
PCBD1	NM_000281.2
PCBD2	NM_032151
PCBP1	NM_006196.3
PCBP2	NM_005016.5
PCBP3	NM_020528.2
PCBP4	NM_033008.2
PCCA	NM_000282.3
PCCB	NM_000532.4
PCDH1	NM_032420.3
PCDH10	NM_032961.1
PCDH11X	NM_001168362.1
PCDH11Y	NM_032973.2
PCDH12	NM_016580.3
PCDH15	NM_001142763.1
PCDH17	NM_001040429.2
PCDH18	NM_019035.3
PCDH19	NM_001105243.1
PCDH20	NM_022843.3
PCDH7	NM_001173523.1
PCDH8	NM_002590.3
PCDH9	NM_203487.2
PCDHAC2	NM_018899.5
PCDHB1	NM_013340.2
PCDHB10	NM_018930.3
PCDHB11	NM_018931.2
PCDHB12	NM_018932.3
PCDHB13	NM_018933.2
PCDHB14	NM_018934.2
PCDHB15	NM_018935.2
PCDHB16	NM_020957.1
PCDHB2	NM_018936.2
PCDHB3	NM_018937.2
PCDHB4	NM_018938.2
PCDHB5	NM_015669.2
PCDHB6	NM_018939.2
PCDHB7	NM_018940.2
PCDHB8	NM_019120.3
PCDHB9	NM_019119
PCDHGC5	NM_018929.2
PCF11	NM_015885.3
PCGF1	NM_032673.2
PCGF2	NM_007144.2
PCGF3	NM_006315.4
PCGF5	NM_032373.4
PCGF6	NM_001011663.1
PCID2	NM_001127202.2
PCIF1	NM_022104.3
PCK1	NM_002591.3
PCK2	NM_004563.2
PCLO	NM_033026.5
PCM1	NM_006197.3
PCMT1	NM_001252049.1
PCMTD1	NM_052937.3
PCMTD2	NM_018257.2
PCNA	NM_182649.1
PCNP	NM_020357.1
PCNT	NM_006031.5
PCNX	NM_014982.2
PCNXL2	NM_014801.3
PCNXL3	NM_032223.2
PCOLCE	NM_002593.3
PCOLCE2	NM_013363.3
PCP2	NM_174895.2
PCP4	NM_006198.2
PCP4L1	NM_001102566.1
PCSK1	NM_000439.4
PCSK1N	NM_013271.3
PCSK2	NM_002594.3
PCSK4	NM_017573.3
PCSK5	NM_001190482.1
PCSK6	NM_002570.3
PCSK7	NM_004716.2
PCSK9	NM_174936.3
PCTP	NM_021213.3
PCYOX1	NM_016297.3
PCYOX1L	NM_024028.3
PCYT1A	NM_005017.2
PCYT1B	NM_004845.4
PCYT2	NM_001184917.1
PDAP1	NM_014891.6
PDC	NM_002597.4
PDCD1	NM_005018.2
PDCD10	NM_145860.1
PDCD11	NM_014976.1
PDCD1LG2	NM_025239.3
PDCD2	NM_002598.3
PDCD2L	NM_032346.1
PDCD4	NM_014456.4
PDCD5	NM_004708.3
PDCD6	NM_013232.3
PDCD6IP	NM_001162429.2
PDCD7	NM_005707.1
PDCL	NM_005388.4
PDCL2	NM_152401.2
PDCL3	NM_024065.4
PDDC1	NM_182612.2
PDE10A	NM_001130690.2
PDE11A	NM_016953.3
PDE12	NM_177966.5
PDE1A	NM_005019.4
PDE1B	NM_000924.3
PDE1C	NM_001191058.1
PDE2A	NM_002599.4
PDE3A	NM_000921.4
PDE3B	NM_000922.3
PDE4A	NM_001111307.1
PDE4B	NM_002600.3
PDE4C	NM_000923.4
PDE4D	NM_001104631.1
PDE4DIP	NM_001198834.3
PDE5A	NM_001083.3
PDE6A	NM_000440.2
PDE6B	NM_000283.3
PDE6C	NM_006204.3
PDE6D	NM_002601.2
PDE6G	NM_002602.3
PDE6H	NM_006205.2
PDE7A	NM_001242318.2
PDE7B	NM_018945.3
PDE8A	NM_002605.2
PDE8B	NM_003719.3
PDE9A	NM_001001567.1
PDF	NM_022341.1
PDGFA	NM_002607.5
PDGFB	NM_002608.2
PDGFC	NM_016205.2
PDGFD	NM_025208.4
PDGFRA	NM_006206.4
PDGFRB	NM_002609.3
PDGFRL	NM_006207.2
PDHA1	NM_001173454.1
PDHA2	NM_005390.4
PDHB	NM_000925.3
PDHX	NM_003477.2
PDIA2	NM_006849.2
PDIA3	NM_005313.4
PDIA4	NM_004911.4
PDIA5	NM_006810.3
PDIA6	NM_005742.2
PDIK1L	NM_152835.4
PDILT	NM_174924.1
PDK1	NM_002610.4
PDK2	NM_002611.4
PDK3	NM_001142386.2
PDK4	NM_002612.3
PDLIM1	NM_020992.3
PDLIM2	NM_021630.5
PDLIM3	NM_014476.5
PDLIM4	NM_003687.3
PDLIM5	NM_006457.4
PDLIM7	NM_005451.4
PDP2	NM_020786.2
PDPK1	NM_002613.4
PDPN	NM_006474.4
PDPR	NM_017990.3
PDRG1	NM_030815.2
PDS5A	NM_001100399.1
PDS5B	NM_015032.3
PDSS1	NM_014317.3
PDSS2	NM_020381.3
PDX1	NM_000209.3
PDXDC1	NM_015027.2
PDXK	NM_003681.4
PDYN	NM_001190900.1
PDZD11	NM_016484.4
PDZD2	NM_178140.2
PDZD3	NM_001168468.1
PDZD4	NM_032512.2
PDZD7	NM_001195263
PDZD8	NM_173791.3
PDZD9	NM_173806.3
PDZK1	NM_001201326.1
PDZK1IP1	NM_005764.3
PDZRN3	NM_015009.1
PDZRN4	NM_001164595.1
PEA15	NM_003768.3
PEAK1	NM_024776.3
PEAR1	NM_001080471.1
PEBP1	NM_002567.2
PEBP4	NM_144962.2
PECR	NM_018441.5
PEF1	NM_012392.3
PEG10	NM_001172438.1
PEG3	NM_001146184.1
PELI1	NM_020651.3
PELI2	NM_021255.2
PELI3	NM_145065.2
PELO	NM_015946.4
PELP1	NM_014389.2
PEMT	NM_148172.2
PENK	NM_006211.3
PEPD	NM_000285.3
PER1	NM_002616.2
PER2	NM_022817.2
PER3	NM_016831.1
PERP	NM_022121.4
PES1	NM_014303.3
PET112	NM_004564.2
PET117	NM_001164811.1
PEX1	NM_000466.2
PEX10	NM_002617.3
PEX11A	NM_003847.2
PEX11B	NM_003846.2
PEX11G	NM_080662.3
PEX12	NM_000286.2
PEX13	NM_002618.3
PEX14	NM_004565.2
PEX16	NM_057174.2
PEX2	NM_001172087.1
PEX26	NM_017929.5
PEX3	NM_003630.2
PEX5	NM_000319.4
PEX5L	NM_016559.2
PEX6	NM_000287.3
PEX7	NM_000288.3
PF4	NM_002619.3
PF4V1	NM_002620.2
PFAS	NM_012393.2
PFDN1	NM_002622.4
PFDN2	NM_012394.3
PFDN4	NM_002623.3
PFDN5	NM_002624.3
PFDN6	NM_014260.3
PFKFB1	NM_002625.3
PFKFB2	NM_006212.2
PFKFB3	NM_004566.3
PFKFB4	NM_004567.2
PFKL	NM_002626.4
PFKM	NM_001166686.1
PFKP	NM_002627.4
PFN1	NM_005022.3
PFN2	NM_053024.3
PFN3	NM_001029886.2
PFN4	NM_199346.1
PGA3	NM_001079807.1
PGA4	NM_001079808.1
PGA5	NM_014224.2
PGAM1	NM_002629.2
PGAM2	NM_000290.3
PGAM4	NM_001029891.2
PGAM5	NM_001170543.1
PGAP1	NM_024989.3
PGAP2	NM_014489.3
PGAP3	NM_033419.3
PGBD1	NM_001184743.1
PGBD2	NM_170725.2
PGBD4	NM_152595.4
PGC	NM_002630.3
PGD	NM_002631.2
PGF	NM_002632.5
PGGT1B	NM_005023.3
PGK1	NM_000291.3
PGK2	NM_138733.4
PGLS	NM_012088.2
PGLYRP1	NM_005091.2
PGLYRP2	NM_052890.3
PGLYRP3	NM_052891.1
PGLYRP4	NM_020393.2
PGM1	NM_001172818.1
PGM2	NM_018290.3
PGM2L1	NM_173582.3
PGM3	NM_001199917.1
PGM5	NM_021965.3
PGP	NM_001042371.2
PGPEP1	NM_017712.2
PGPEP1L	NM_001102612.2
PGR	NM_000926.4
PGRMC1	NM_006667.3
PGRMC2	NM_006320.4
PGS1	NM_024419.3
PHACTR1	NM_001242648.1
PHACTR2	NM_001100164.1
PHACTR3	NM_080672.4
PHACTR4	NM_001048183.1
PHAX	NM_032177.3
PHB	NM_002634.3
PHC1	NM_004426.2
PHC2	NM_198040.2
PHC3	NM_024947.3
PHEX	NM_000444.4
PHF1	NM_024165.2
PHF10	NM_018288.3
PHF11	NM_001040443.1
PHF12	NM_001033561.1
PHF13	NM_153812.2
PHF14	NM_014660.3
PHF15	NM_015288.4
PHF16	NM_001077445.1
PHF17	NM_199320.2
PHF19	NM_015651.1
PHF2	NM_005392.3
PHF20	NM_016436.4
PHF20L1	NM_016018.4
PHF21A	NM_001101802.1
PHF21B	NM_001135862.2
PHF23	NM_024297.2
PHF3	NM_015153.2
PHF5A	NM_032758.3
PHF6	NM_032458.2
PHF7	NM_016483.5
PHF8	NM_001184896.1
PHGDH	NM_006623.3
PHGR1	NM_001145643.1
PHIP	NM_017934.5
PHKA1	NM_002637.3
PHKA2	NM_000292.2
PHKB	NM_000293.2
PHKG1	NM_006213.4
PHKG2	NM_001172432.1
PHLDA1	NM_007350.3
PHLDA2	NM_003311.3
PHLDA3	NM_012396.3
PHLDB1	NM_001144758.2
PHLDB2	NM_001134439.1
PHLDB3	NM_198850.3
PHLPP1	NM_194449.3
PHLPP2	NM_015020.2
PHOSPHO1	NM_178500.3
PHOSPHO2	NM_001199288.1
PHOX2A	NM_005169.3
PHOX2B	NM_003924.3
PHPT1	NM_014172.4
PHRF1	NM_020901.2
PHTF1	NM_006608.2
PHTF2	NM_001127358.1
PHYH	NM_006214.3
PHYHIP	NM_014759.3
PHYHIPL	NM_032439.3
PI15	NM_015886.3
PI16	NM_153370.2
PI3	NM_002638.3
PI4K2A	NM_018425.2
PI4K2B	NM_018323.3
PI4KA	NM_058004.3
PI4KB	NM_001198774.1
PIAS1	NM_016166.1
PIAS2	NM_004671.3
PIAS3	NM_006099.3
PIAS4	NM_015897.2
PIBF1	NM_006346.2
PICALM	NM_007166.3
PICK1	NM_001039583.1
PID1	NM_017933.4
PIDD	NM_145886.3
PIEZO1	NM_001142864.2
PIEZO2	NM_022068.2
PIF1	NM_025049.2
PIGA	NM_002641.3
PIGB	NM_004855.4
PIGC	NM_153747.1
PIGF	NM_002643.3
PIGG	NM_001127178.1
PIGH	NM_004569.3
PIGK	NM_005482.2
PIGL	NM_004278.3
PIGM	NM_145167.2
PIGN	NM_176787.4
PIGO	NM_032634.3
PIGP	NM_153681.2
PIGQ	NM_148920.2
PIGR	NM_002644.3
PIGS	NM_033198.3
PIGT	NM_015937.5
PIGU	NM_080476.4
PIGV	NM_017837.3
PIGW	NM_178517.3
PIGX	NM_001166304.1
PIGY	NM_001042616.2
PIGZ	NM_025163.3
PIH1D1	NM_017916.2
PIH1D2	NM_138789.3
PIK3AP1	NM_152309.2
PIK3C2A	NM_002645.2
PIK3C2B	NM_002646.3
PIK3C2G	NM_004570.4
PIK3C3	NM_002647.2
PIK3CA	NM_006218.2
PIK3CB	NM_006219.2
PIK3CD	NM_005026.3
PIK3CG	NM_002649.2
PIK3IP1	NM_052880.4
PIK3R1	NM_181523.2
PIK3R2	NM_005027.3
PIK3R3	NM_003629.3
PIK3R4	NM_014602.2
PIK3R5	NM_014308.3
PIK3R6	NM_001010855.2
PIKFYVE	NM_015040.3
PILRA	NM_013439.2
PILRB	NM_178238
PIM1	NM_002648.3
PIM2	NM_006875.3
PIM3	NM_001001852.3
PIN1	NM_006221.3
PIN4	NM_006223.3
PINK1	NM_032409.2
PION	NM_017439.3
PIP	NM_002652.2
PIP4K2A	NM_005028.4
PIP4K2B	NM_003559.4
PIP4K2C	NM_024779.4
PIP5K1A	NM_001135638.1
PIP5K1B	NM_003558.3
PIP5K1C	NM_012398.2
PIP5KL1	NM_001135219.1
PIPOX	NM_016518.2
PIR	NM_001018109.2
PIRT	NM_001101387.1
PISD	NM_014338.3
PITHD1	NM_020362.4
PITPNA	NM_006224.3
PITPNB	NM_012399.3
PITPNC1	NM_012417.3
PITPNM1	NM_004910.2
PITPNM2	NM_020845.2
PITPNM3	NM_031220.3
PITRM1	NM_001242307.1
PITX1	NM_002653.4
PITX2	NM_001204398.1
PITX3	NM_005029.3
PIWIL1	NM_004764.4
PIWIL2	NM_018068.3
PIWIL3	NM_001008496.3
PIWIL4	NM_152431.2
PJA1	NM_145119.3
PJA2	NM_014819.4
PKD1	NM_001009944.2
PKD1L1	NM_138295.3
PKD1L2	NM_052892.3
PKD1L3	NM_181536
PKD2	NM_000297.3
PKD2L1	NM_016112.2
PKD2L2	NM_014386.3
PKDCC	NM_138370.2
PKDREJ	NM_006071.1
PKHD1	NM_138694.3
PKHD1L1	NM_177531.4
PKIA	NM_181839.2
PKIB	NM_181795.2
PKIG	NM_007066.4
PKLR	NM_000298.5
PKM	NM_001206796.1
PKMYT1	NM_004203.4
PKN1	NM_213560.1
PKN2	NM_006256.2
PKN3	NM_013355.3
PKNOX1	NM_004571.3
PKNOX2	NM_022062.2
PKP1	NM_001005337.2
PKP2	NM_001005242.2
PKP3	NM_007183.2
PKP4	NM_003628.3
PLA1A	NM_015900.3
PLA2G10	NM_003561.1
PLA2G12A	NM_030821.4
PLA2G12B	NM_032562.2
PLA2G15	NM_012320.3
PLA2G16	NM_001128203.1
PLA2G1B	NM_000928.2
PLA2G2A	NM_001161728.1
PLA2G2C	NM_001105572.1
PLA2G2D	NM_012400.3
PLA2G2E	NM_014589.2
PLA2G2F	NM_022819.3
PLA2G3	NM_015715.3
PLA2G4A	NM_024420.2
PLA2G4C	NM_003706.2
PLA2G4D	NM_178034.3
PLA2G4E	NM_001206670.1
PLA2G4F	NM_213600.3
PLA2G5	NM_000929.2
PLA2G6	NM_003560.2
PLA2G7	NM_001168357.1
PLA2R1	NM_007366.4
PLAA	NM_001031689.2
PLAC1	NM_021796.3
PLAC1L	NM_173801.3
PLAC4	NM_182832
PLAC8	NM_001130716.1
PLAC8L1	NM_001029869.1
PLAC9	NM_001012973.1
PLAG1	NM_001114634.1
PLAGL1	NM_001080954.1
PLAGL2	NM_002657.3
PLAT	NM_000930.3
PLAU	NM_002658.3
PLAUR	NM_002659.3
PLB1	NM_153021.4
PLBD1	NM_024829.5
PLBD2	NM_173542.3
PLCB1	NM_015192.3
PLCB2	NM_004573.2
PLCB3	NM_000932.2
PLCB4	NM_000933.3
PLCD1	NM_001130964.1
PLCD3	NM_133373.3
PLCD4	NM_032726.3
PLCE1	NM_016341.3
PLCG1	NM_002660.2
PLCG2	NM_002661.3
PLCH1	NM_001130960.1
PLCH2	NM_014638.2
PLCL1	NM_006226.3
PLCL2	NM_015184.5
PLCXD1	NM_018390.3
PLCXD2	NM_153268.3
PLCXD3	NM_001005473.2
PLCZ1	NM_033123.3
PLD1	NM_002662.4
PLD2	NM_002663.4
PLD3	NM_012268.2
PLD4	NM_138790.2
PLD5	NM_152666.2
PLD6	NM_178836.3
PLEC	NM_201380.2
PLEK	NM_002664.2
PLEK2	NM_016445.1
PLEKHA1	NM_001001974.2
PLEKHA2	NM_021623.1
PLEKHA3	NM_019091.3
PLEKHA4	NM_020904.2
PLEKHA5	NM_001143821.2
PLEKHA6	NM_014935.4
PLEKHA7	NM_175058.4
PLEKHA8	NM_001197026.1
PLEKHB1	NM_001130034.1
PLEKHB2	NM_001100623.1
PLEKHD1	NM_001161498.1
PLEKHF1	NM_024310.4
PLEKHF2	NM_024613.3
PLEKHG1	NM_001029884.1
PLEKHG2	NM_022835.2
PLEKHG3	NM_015549.1
PLEKHG4	NM_001129728.1
PLEKHG4B	NM_052909.3
PLEKHG5	NM_001042663.1
PLEKHG6	NM_018173.3
PLEKHG7	NM_001004330.2
PLEKHH1	NM_020715.2
PLEKHH2	NM_172069.3
PLEKHH3	NM_024927.4
PLEKHJ1	NM_018049.1
PLEKHM1	NM_014798.2
PLEKHM2	NM_015164.2
PLEKHM3	NM_001080475.2
PLEKHN1	NM_032129.2
PLEKHO1	NM_016274.4
PLEKHO2	NM_025201.4
PLG	NM_000301.3
PLGLB1	NM_001032392.2
PLGLB2	NM_002665.4
PLIN1	NM_001145311.1
PLIN2	NM_001122.3
PLIN3	NM_005817.4
PLIN4	NM_001080400.1
PLIN5	NM_001013706.2
PLK1	NM_005030.3
PLK1S1	NM_018474
PLK2	NM_006622.3
PLK3	NM_004073.2
PLK4	NM_014264.4
PLK5	NM_001243079.1
PLLP	NM_015993.2
PLN	NM_002667.3
PLOD1	NM_000302.3
PLOD2	NM_182943.2
PLOD3	NM_001084.4
PLP1	NM_000533.3
PLP2	NM_002668.2
PLRG1	NM_002669.3
PLS1	NM_002670.2
PLS3	NM_001136025.3
PLSCR1	NM_021105.2
PLSCR2	NM_001199979.1
PLSCR3	NM_001201576.1
PLSCR4	NM_020353.2
PLSCR5	NM_001085420.1
PLTP	NM_006227.3
PLVAP	NM_031310.1
PLXDC1	NM_020405.4
PLXDC2	NM_032812.7
PLXNA1	NM_032242.3
PLXNA2	NM_025179.3
PLXNA3	NM_017514.3
PLXNA4	NM_020911.1
PLXNB1	NM_002673.4
PLXNB2	NM_012401.3
PLXNB3	NM_001163257.1
PLXNC1	NM_005761.2
PLXND1	NM_015103.2
PM20D1	NM_152491.4
PM20D2	NM_001010853.2
PMAIP1	NM_021127.2
PMCH	NM_002674.2
PMEL	NM_006928.4
PMEPA1	NM_020182.4
PMF1-BGLAP	NM_001199662.1
PMFBP1	NM_031293.2
PML	NM_033238.2
PMM1	NM_002676.2
PMM2	NM_000303.2
PMP2	NM_002677.3
PMP22	NM_153322.2
PMPCA	NM_015160.1
PMPCB	NM_004279.2
PMS1	NM_000534.4
PMS2	NM_000535.5
PMVK	NM_006556.3
PNCK	NM_001039582.3
PNISR	NM_015491.1
PNKD	NM_015488.4
PNKP	NM_007254.3
PNLDC1	NM_173516.2
PNLIP	NM_000936.2
PNLIPRP1	NM_006229.2
PNLIPRP2	NM_005396.4
PNLIPRP3	NM_001011709.2
PNMA1	NM_006029.4
PNMA2	NM_007257.5
PNMA3	NM_013364.4
PNMA5	NM_001103150.1
PNMA6A	NM_032882.4
PNMAL1	NM_018215.3
PNMAL2	NM_020709.1
PNMT	NM_002686.4
PNN	NM_002687.3
PNO1	NM_020143.2
PNOC	NM_006228.3
PNP	NM_000270.3
PNPLA1	NM_001145717.1
PNPLA2	NM_020376.3
PNPLA3	NM_025225.2
PNPLA4	NM_001142389.1
PNPLA5	NM_138814.3
PNPLA6	NM_001166111.1
PNPLA7	NM_001098537.1
PNPLA8	NM_015723.3
PNPO	NM_018129.3
PNPT1	NM_033109.4
PNRC1	NM_006813.2
PNRC2	NM_017761.3
POC1A	NM_015426.4
POC5	NM_001099271.1
PODN	NM_001199081.1
PODNL1	NM_001146254.1
PODXL	NM_005397.3
PODXL2	NM_015720.3
POF1B	NM_024921.3
POFUT1	NM_015352.1
POFUT2	NM_133635.4
POGK	NM_017542.3
POGLUT1	NM_152305.2
POGZ	NM_015100.3
POLA1	NM_016937.3
POLA2	NM_002689.2
POLB	NM_002690.2
POLD1	NM_002691.3
POLD2	NM_006230.3
POLD3	NM_006591.2
POLD4	NM_021173.4
POLDIP2	NM_015584.3
POLDIP3	NM_032311.4
POLE	NM_006231.2
POLE2	NM_002692.3
POLE3	NM_017443.4
POLE4	NM_019896.2
POLG	NM_001126131.1
POLG2	NM_007215.3
POLH	NM_006502.2
POLI	NM_007195.2
POLK	NM_016218.2
POLL	NM_001174084.1
POLM	NM_013284.2
POLN	NM_181808.2
POLQ	NM_199420.3
POLR1A	NM_015425.3
POLR1B	NM_019014.4
POLR1C	NM_203290.2
POLR1D	NM_152705.2
POLR1E	NM_022490.1
POLR2A	NM_000937.4
POLR2B	NM_000938.1
POLR2C	NM_032940.2
POLR2D	NM_004805.3
POLR2E	NM_002695.3
POLR2F	NM_021974.3
POLR2G	NM_002696.2
POLR2H	NM_006232.3
POLR2I	NM_006233.4
POLR2J	NM_006234.4
POLR2J2	NM_032959.5
POLR2J3	NM_001097615.2
POLR2K	NM_005034.3
POLR2L	NM_021128.4
POLR2M	NM_015532.3
POLR3A	NM_007055.3
POLR3B	NM_018082.5
POLR3C	NM_006468.6
POLR3D	NM_001722.2
POLR3E	NM_018119.3
POLR3F	NM_006466.2
POLR3G	NM_006467.2
POLR3GL	NM_032305.1
POLR3H	NM_138338.3
POLR3K	NM_016310.3
POLRMT	NM_005035.3
POM121	NM_172020.4
POM121C	NM_001099415.2
POM121L12	NM_182595.3
POM121L2	NM_033482.3
POMC	NM_000939
POMGNT1	NM_001243766.1
POMP	NM_015932.5
POMT1	NM_001077365.1
POMT2	NM_013382.5
POMZP3	NM_012230.3
PON1	NM_000446.5
PON2	NM_000305.2
POP1	NM_001145861.1
POP4	NM_006627.2
POP5	NM_015918.3
POP7	NM_005837.2
POPDC2	NM_022135.2
POPDC3	NM_022361.4
POR	NM_000941.2
PORCN	NM_203475.1
POSTN	NM_006475.2
POT1	NM_015450.2
POTEA	NM_001005365
POTEB	NM_207355.2
POTEC	NM_001137671.1
POTED	NM_174981.3
POTEE	NM_001083538.1
POTEF	NM_001099771.2
POTEG	NM_001005356.2
POTEH	NM_001136213.1
POTEM	NM_001145442.1
POU1F1	NM_001122757.1
POU2AF1	NM_006235.2
POU2F1	NM_002697.3
POU2F2	NM_001207025.2
POU2F3	NM_001244682.1
POU3F1	NM_002699.3
POU3F2	NM_005604.3
POU3F3	NM_006236.1
POU3F4	NM_000307.4
POU4F1	NM_006237.3
POU4F2	NM_004575.2
POU4F3	NM_002700.2
POU5F1	NM_002701.4
POU5F1B	NM_001159542.1
POU5F2	NM_153216.1
POU6F1	NM_002702.3
POU6F2	NM_007252.3
PP2D1	NM_001252657.1
PPA1	NM_021129.3
PPA2	NM_176869.2
PPAN-P2RY11	NM_001040664.2
PPAP2A	NM_176895.2
PPAP2B	NM_003713.4
PPAP2C	NM_177543.2
PPAPDC1A	NM_001030059.1
PPAPDC1B	NM_001102559.1
PPAPDC2	NM_203453.3
PPAPDC3	NM_032728.3
PPARA	NM_001001928.2
PPARD	NM_006238.4
PPARG	NM_015869.4
PPARGC1A	NM_013261.3
PPARGC1B	NM_133263.3
PPAT	NM_002703.4
PPBP	NM_002704.3
PPCDC	NM_021823.3
PPCS	NM_024664.2
PPDPF	NM_024299.2
PPEF1	NM_006240.2
PPEF2	NM_006239.2
PPFIA1	NM_003626.3
PPFIA2	NM_003625.3
PPFIA3	NM_003660.3
PPFIBP1	NM_177444.2
PPFIBP2	NM_003621.3
PPHLN1	NM_016488.6
PPIA	NM_021130.3
PPIAL4A	NM_178230.1
PPIAL4B	NM_001143883.2
PPIAL4E	NM_001144032.2
PPIAL4F	NM_001164262.2
PPIAL4G	NM_001123068.1
PPIB	NM_000942.4
PPIC	NM_000943.4
PPID	NM_005038.2
PPIE	NM_001195007.1
PPIF	NM_005729.3
PPIG	NM_004792.2
PPIH	NM_006347.3
PPIL1	NM_016059.4
PPIL2	NM_014337.3
PPIL3	NM_130906.2
PPIL4	NM_139126.3
PPIL6	NM_001111298.2
PPIP5K1	NM_014659.5
PPIP5K2	NM_015216.3
PPL	NM_002705.4
PPM1A	NM_177952.2
PPM1B	NM_002706.4
PPM1D	NM_003620.3
PPM1E	NM_014906.4
PPM1F	NM_014634.3
PPM1G	NM_177983.2
PPM1H	NM_020700.1
PPM1J	NM_005167.5
PPM1K	NM_152542.4
PPM1L	NM_139245.2
PPM1M	NM_144641.3
PPM1N	NM_001080401.1
PPME1	NM_016147.2
PPOX	NM_000309.3
PPP1CA	NM_002708.3
PPP1CB	NM_206876.1
PPP1CC	NM_001244974.1
PPP1R10	NM_002714.3
PPP1R11	NM_021959.2
PPP1R12A	NM_002480.2
PPP1R12B	NM_002481.3
PPP1R12C	NM_017607.3
PPP1R13B	NM_015316.2
PPP1R13L	NM_006663.3
PPP1R14A	NM_033256.2
PPP1R14B	NM_138689.2
PPP1R14C	NM_030949.2
PPP1R14D	NM_001130143.1
PPP1R15A	NM_014330.3
PPP1R15B	NM_032833.3
PPP1R16A	NM_032902.5
PPP1R16B	NM_015568.2
PPP1R17	NM_006658.4
PPP1R18	NM_001134870.1
PPP1R1A	NM_006741.3
PPP1R1B	NM_032192.3
PPP1R1C	NM_001080545.2
PPP1R2	NM_006241.4
PPP1R21	NM_152994.4
PPP1R26	NM_014811.3
PPP1R27	NM_001007533.3
PPP1R32	NM_145017.2
PPP1R35	NM_145030.2
PPP1R36	NM_172365.1
PPP1R37	NM_019121.1
PPP1R3A	NM_002711.3
PPP1R3B	NM_024607.3
PPP1R3C	NM_005398.5
PPP1R3D	NM_006242.3
PPP1R3F	NM_033215.4
PPP1R3G	NM_001145115.1
PPP1R42	NM_001013626.2
PPP1R7	NM_002712.1
PPP1R8	NM_014110.4
PPP1R9A	NM_001166161.1
PPP1R9B	NM_032595.3
PPP2CB	NM_001009552.1
PPP2R1A	NM_014225.5
PPP2R1B	NM_181699.2
PPP2R2B	NM_181674.2
PPP2R2C	NM_001206995.1
PPP2R2D	NM_018461.3
PPP2R3A	NM_002718.4
PPP2R3B	NM_013239.4
PPP2R3C	NM_017917.2
PPP2R4	NM_021131.4
PPP2R5A	NM_006243.3
PPP2R5B	NM_006244.3
PPP2R5C	NM_001161726.1
PPP2R5D	NM_006245.3
PPP2R5E	NM_006246.2
PPP3CA	NM_000944.4
PPP3CB	NM_001142353.1
PPP3CC	NM_001243974.1
PPP3R1	NM_000945.3
PPP3R2	NM_147180.2
PPP4C	NM_002720.1
PPP4R1	NM_001042388.2
PPP4R2	NM_174907.2
PPP4R4	NM_058237.1
PPP5C	NM_006247.3
PPP6C	NM_002721.4
PPP6R1	NM_014931.3
PPP6R2	NM_001242898.1
PPP6R3	NM_001164160.1
