NM_000014.5	A2M
NM_001256743.1	GRIA3
NM_001256748.1	SSUH2
NM_001256749.1	SSUH2
NM_001256750.1	PEX5L
NM_001256751.1	PEX5L
NM_001256752.1	PEX5L
NM_001256753.1	PEX5L
NM_001256754.1	PEX5L
NM_001256755.1	PEX5L
NM_001256756.1	PEX5L
NM_001256758.1	RNF165
NM_001256760.2	HTR2C
NM_001256761.2	HTR2C
NM_001256763.1	FAM49B
NM_001256765.1	IL15RA
NM_001256766.1	TMEM161A
NM_001256782.1	SEPT4
NM_001256787.1	PLEKHA5
NM_001256789.2	CACNA1F
NM_001256790.2	CACNA1F
NM_001256792.1	BMPR1B
NM_001256793.1	BMPR1B
NM_001256794.1	BMPR1B
NM_001256795.2	LOC100129083
NM_001256796.1	P2RX4
NM_001256798.1	NOL4L
NM_001256799.2	GAPDH
NM_001256802.1	RPS3
NM_001256809.2	GRM4
NM_001256811.2	GRM4
NM_001256812.2	GRM4
NM_001256813.2	GRM4
NM_001256819.1	CLRN1
NM_001256820.1	RIT1
NM_001256821.1	RIT1
NM_001256822.1	SEPT4
NM_001256823.1	ZNF195
NM_001256824.1	ZNF195
NM_001256825.1	ZNF195
NM_001256826.1	PAF1
NM_001256827.1	SMG6
NM_001256828.1	SMG6
NM_001256829.1	TMEM265
NM_001256830.1	ASIC1
NM_001256834.2	AURKB
NM_001256835.1	QTRT2
NM_001256836.1	QTRT2
NM_001256837.1	QTRT2
NM_001256838.1	ZNF382
NM_001256841.1	CD300A
NM_001256847.2	ABR
NM_001256849.1	POLD1
NM_001256850.1	TTN
NM_001256852.1	USP17L10
NM_001256853.1	USP17L12
NM_001256854.1	USP17L11
NM_001256855.1	USP17L13
NM_001256856.1	BTRC
NM_001256857.1	USP17L17
NM_001256858.1	RNF34
NM_001256859.1	USP17L18
NM_001256860.1	USP17L19
NM_001256861.1	USP17L20
NM_001256862.1	USP17L21
NM_001256863.1	USP17L22
NM_001256864.1	DNAJC6
NM_001256865.1	DNAJC6
NM_001256867.1	USP17L30
NM_001256869.1	USP17L7
NM_001256870.1	POLD4
NM_001256871.1	USP17L3
NM_001256872.1	USP17L8
NM_001256873.1	USP17L1
NM_001256874.1	USP17L4
NM_001256875.1	CDCA8
NM_001256876.1	KANK1
NM_001256877.1	KANK1
NM_001256879.1	POLD2
NM_001256887.2	FAM26D
NM_001256888.2	FAM26D
NM_001256889.2	FAM26D
NM_001256891.1	SRI
NM_001256892.1	SRI
NM_001256894.1	USP17L15
NM_001256896.1	DOK7
NM_001256909.1	CYBRD1
NM_001256910.1	DDX21
NM_001256915.1	IDNK
NM_001256916.1	MS4A2
NM_001256917.1	C16orf95
NM_001256932.1	LOC730183
NM_001256944.1	CLCN4
NM_001256945.1	FAAP20
NM_001256946.1	FAAP20
NM_001256947.1	FAAP20
NM_001256959.1	CLCN6
NM_001256964.1	CCDC51
NM_001256965.2	CCDC51
NM_001256966.2	CCDC51
NM_001256967.2	CCDC51
NM_001256968.2	CCDC51
NM_001256969.2	CCDC51
NM_001257.4	CDH13
NM_001257069.1	FBXW7
NM_001257072.1	C4orf26
NM_001257096.1	PAX1
NM_001257097.1	RHNO1
NM_001257098.1	RHNO1
NM_001257101.1	PCGF5
NM_001257102.1	NDUFB3
NM_001257118.2	CASP1
NM_001257119.2	CASP1
NM_001257133.1	COX14
NM_001257134.1	COX14
NM_001257135.1	LIF
NM_001257137.2	ITCH
NM_001257138.2	ITCH
NM_001257139.1	CLCNKA
NM_001257144.1	DDX11
NM_001257145.1	DDX11
NM_001257158.1	CEP41
NM_001257159.1	CEP41
NM_001257160.1	CEP41
NM_001257168.1	ELK1
NM_001257172.1	DDX19B
NM_001257173.1	DDX19B
NM_001257174.1	DDX19B
NM_001257175.1	DDX19B
NM_001257177.1	LOC339862
NM_001257180.1	SLC20A2
NM_001257181.1	SLC20A2
NM_001257189.1	DDX56
NM_001257190.2	POM121
NM_001257191.2	DDX6
NM_001257194.1	KLHL3
NM_001257195.1	KLHL3
NM_001257197.1	CUL3
NM_001257198.1	CUL3
NM_001257199.1	GPD1
NM_001257205.1	FGF1
NM_001257206.1	FGF1
NM_001257207.1	FGF1
NM_001257208.1	FGF1
NM_001257209.1	FGF1
NM_001257210.1	FGF1
NM_001257211.1	FGF1
NM_001257212.1	FGF1
NM_001257230.1	ALG13
NM_001257231.1	ALG13
NM_001257234.1	ALG13
NM_001257235.2	ALG13
NM_001257237.1	ALG13
NM_001257239.2	ALG13
NM_001257240.2	ALG13
NM_001257241.2	ALG13
NM_001257268.1	RD3L
NM_001257273.1	ZNF451
NM_001257281.1	DIS3L2
NM_001257282.1	DIS3L2
NM_001257291.1	SLC9A7
NM_001257305.1	KRTAP1-4
NM_001257308.1	KIAA1024L
NM_001257309.1	KRTAP29-1
NM_001257317.1	DCSTAMP
NM_001257319.2	APBB1
NM_001257320.2	APBB1
NM_001257321.2	APBB1
NM_001257323.2	APBB1
NM_001257325.2	APBB1
NM_001257326.2	APBB1
NM_001257328.1	ARRB2
NM_001257329.1	ARRB2
NM_001257330.1	ARRB2
NM_001257331.1	ARRB2
NM_001257334.1	ATP5A1
NM_001257335.1	ATP5A1
NM_001257342.1	BCS1L
NM_001257343.1	BCS1L
NM_001257344.1	BCS1L
NM_001257357.1	RAB44
NM_001257359.1	SAMD14
NM_001257360.1	AMPD2
NM_001257361.1	AMPD2
NM_001257362.1	LOC100288966
NM_001257363.2	CRAT
NM_001257370.1	EME2
NM_001257374.2	LMNA
NM_001257376.1	SCFD1
NM_001257378.1	SEC14L3
NM_001257379.1	SEC14L3
NM_001257382.1	SEC14L3
NM_001257386.1	ABCG2
NM_001257387.1	CHEK2
NM_001257389.1	CD63
NM_001257390.1	CD63
NM_001257391.1	CD63
NM_001257392.1	CD63
NM_001257393.1	UBE2V1
NM_001257394.1	UBE2V1
NM_001257395.1	UBE2V1
NM_001257396.1	UBE2V1
NM_001257397.1	UBE2V1
NM_001257398.1	UBE2V1
NM_001257399.1	UBE2V1
NM_001257400.1	CD63
NM_001257401.1	CD63
NM_001257403.1	VSIG4
NM_001257406.1	IL4R
NM_001257407.1	IL4R
NM_001257408.1	IKZF3
NM_001257409.1	IKZF3
NM_001257410.1	IKZF3
NM_001257411.1	IKZF3
NM_001257412.1	IKZF3
NM_001257413.1	IKZF3
NM_001257414.1	IKZF3
NM_001257962.1	PDLIM3
NM_001257963.1	PDLIM3
NM_001257964.1	BOD1L2
NM_001257965.1	CRB1
NM_001257966.1	CRB1
NM_001257967.2	CCDC129
NM_001257968.2	CCDC129
NM_001257970.1	CARD14
NM_001257971.1	CTSL
NM_001257972.1	CTSL
NM_001257973.1	CTSL
NM_001257975.1	CIZ1
NM_001257976.1	CIZ1
NM_001257988.1	TYMP
NM_001257989.1	TYMP
NM_001257990.1	FBXO7
NM_001257994.1	TRMT2A
NM_001257995.1	LMO7DN
NM_001257997.1	IL4R
NM_001257998.1	VPS50
NM_001257999.2	ANKFY1
NM_001258.2	CDK3
NM_001258000.1	C10orf142
NM_001258001.1	CHIA
NM_001258002.1	CHIA
NM_001258003.1	CHIA
NM_001258004.1	CHIA
NM_001258005.1	CHIA
NM_001258006.1	COPS4
NM_001258008.1	ZCWPW1
NM_001258012.3	FDXR
NM_001258013.3	FDXR
NM_001258014.3	FDXR
NM_001258015.2	FDXR
NM_001258016.3	FDXR
NM_001258017.1	IL4I1
NM_001258018.1	IL4I1
NM_001258019.1	GRIA1
NM_001258020.1	GRIA1
NM_001258021.1	GRIA1
NM_001258022.1	GRIA1
NM_001258023.1	GRIA1
NM_001258024.1	SKOR1
NM_001258025.1	TRIM60
NM_001258026.1	TPI1
NM_001258027.1	CLEC4F
NM_001258028.1	TKT
NM_001258029.1	GSN
NM_001258030.1	GSN
NM_001258031.1	SERINC4
NM_001258032.1	SERINC4
NM_001258033.1	POLR3E
NM_001258034.1	POLR3E
NM_001258035.1	POLR3E
NM_001258036.1	POLR3E
NM_001258038.1	SPRY1
NM_001258039.1	SPRY1
NM_001258040.2	HARS
NM_001258041.2	HARS
NM_001258042.2	HARS
NM_001258205.1	TRPV3
NM_001258206.1	VAV1
NM_001258207.1	VAV1
NM_001258208.1	HMBS
NM_001258209.1	HMBS
NM_001258210.1	TSKU
NM_001258211.1	FBXO16
NM_001258213.2	PCID2
NM_001258214.1	IL12RB2
NM_001258215.1	IL12RB2
NM_001258216.1	IL12RB2
NM_001258217.1	MIS12
NM_001258218.1	MIS12
NM_001258219.1	MIS12
NM_001258220.1	MIS12
NM_001258221.1	KCTD1
NM_001258222.1	KCTD1
NM_001258238.1	TMEM218
NM_001258239.1	TMEM218
NM_001258240.1	TMEM218
NM_001258241.1	TMEM218
NM_001258242.1	TMEM218
NM_001258243.1	TMEM218
NM_001258244.1	TMEM218
NM_001258245.1	TMEM218
NM_001258246.1	TMEM218
NM_001258247.1	TMEM218
NM_001258248.1	SP6
NM_001258249.1	UTY
NM_001258250.1	UTY
NM_001258251.1	UTY
NM_001258252.1	UTY
NM_001258253.1	UTY
NM_001258254.1	UTY
NM_001258255.1	UTY
NM_001258256.1	UTY
NM_001258257.1	UTY
NM_001258258.1	UTY
NM_001258259.1	UTY
NM_001258260.1	UTY
NM_001258261.1	UTY
NM_001258262.1	UTY
NM_001258263.1	UTY
NM_001258264.1	UTY
NM_001258265.1	UTY
NM_001258266.1	UTY
NM_001258267.1	UTY
NM_001258268.1	UTY
NM_001258269.1	UTY
NM_001258270.1	UTY
NM_001258271.1	MLH1
NM_001258272.1	WDR89
NM_001258273.1	MLH1
NM_001258274.1	MLH1
NM_001258275.2	SAMD3
NM_001258276.1	TMEM200A
NM_001258277.1	TMEM200A
NM_001258278.1	TMEM200A
NM_001258280.1	ZNF501
NM_001258281.1	MSH2
NM_001258282.1	LINGO2
NM_001258283.1	OR2V1
NM_001258284.1	OR2L5
NM_001258285.1	OR2AP1
NM_001258286.1	SLC38A9
NM_001258287.1	SLC38A9
NM_001258288.1	SELENBP1
NM_001258289.1	SELENBP1
NM_001258290.1	PRSS36
NM_001258291.1	PRSS36
NM_001258292.1	NFATC2
NM_001258294.1	NFATC2
NM_001258295.1	NFATC2
NM_001258296.1	NFATC2
NM_001258297.1	NFATC2
NM_001258298.1	SHTN1
NM_001258299.1	SHTN1
NM_001258300.1	SHTN1
NM_001258304.1	CCDC74A
NM_001258305.1	CCDC74A
NM_001258306.1	CCDC74A
NM_001258307.1	CCDC74B
NM_001258308.1	NOP2
NM_001258309.1	NOP2
NM_001258310.1	NOP2
NM_001258311.1	PGBD5
NM_001258312.1	PDE1A
NM_001258313.1	PDE1A
NM_001258314.1	PDE1A
NM_001258315.1	ECT2
NM_001258316.1	ECT2
NM_001258320.1	TP53I11
NM_001258321.1	TP53I11
NM_001258322.1	TP53I11
NM_001258323.2	TP53I11
NM_001258324.1	TP53I11
NM_001258325.1	SFI1
NM_001258326.1	SFI1
NM_001258327.1	SFI1
NM_001258328.2	ARHGAP45
NM_001258329.1	EPB41L1
NM_001258330.1	EPB41L1
NM_001258331.1	EPB41L1
NM_001258332.1	GALT
NM_001258333.1	HAL
NM_001258334.1	HAL
NM_001258338.1	NDUFA12
NM_001258340.1	SLC44A3
NM_001258341.1	SLC44A3
NM_001258342.1	SLC44A3
NM_001258343.1	SLC44A3
NM_001258345.2	PACRGL
NM_001258346.2	PACRGL
NM_001258351.1	GZMM
NM_001258353.1	EFTUD2
NM_001258354.1	EFTUD2
NM_001258355.1	HNF4A
NM_001258357.1	HPCAL1
NM_001258358.1	HPCAL1
NM_001258359.1	HPCAL1
NM_001258366.1	DIAPH3
NM_001258367.1	DIAPH3
NM_001258368.1	DIAPH3
NM_001258369.1	DIAPH3
NM_001258370.1	DIAPH3
NM_001258371.2	ACTN3
NM_001258372.1	SPATA20
NM_001258373.1	SPATA20
NM_001258374.1	EPS15L1
NM_001258375.1	EPS15L1
NM_001258376.1	EPS15L1
NM_001258379.1	SLC4A7
NM_001258380.1	SLC4A7
NM_001258384.2	IDH3B
NM_001258388.1	FAM173B
NM_001258389.1	FAM173B
NM_001258390.1	LAYN
NM_001258391.1	LAYN
NM_001258392.2	CLPB
NM_001258393.2	CLPB
NM_001258394.2	CLPB
NM_001258395.1	CCDC103
NM_001258396.1	CCDC103
NM_001258397.1	CCDC103
NM_001258398.1	CCDC103
NM_001258399.1	CCDC103
NM_001258401.2	SLC4A8
NM_001258402.1	SLC4A8
NM_001258403.1	SLC4A8
NM_001258406.1	ACOD1
NM_001258411.2	SLC5A11
NM_001258412.2	SLC5A11
NM_001258413.2	SLC5A11
NM_001258414.1	SLC5A11
NM_001258415.1	ARHGAP20
NM_001258416.1	ARHGAP20
NM_001258417.1	ARHGAP20
NM_001258418.1	ARHGAP20
NM_001258419.1	LRRC4C
NM_001258420.1	ZFYVE19
NM_001258421.1	ZFYVE19
NM_001258423.1	SMS
NM_001258426.1	SLC4A9
NM_001258427.1	SLC4A9
NM_001258428.1	SLC4A9
NM_001258429.1	C20orf27
NM_001258430.1	C20orf27
NM_001258432.1	NDRG1
NM_001258433.1	NDRG1
NM_001258437.1	TARS
NM_001258438.1	TARS
NM_001258440.1	BLNK
NM_001258441.1	BLNK
NM_001258442.1	BLNK
NM_001258446.1	TOP1MT
NM_001258447.1	TOP1MT
NM_001258448.1	PKD2L2
NM_001258449.1	PKD2L2
NM_001258450.1	PKMYT1
NM_001258451.1	PKMYT1
NM_001258452.1	FBXO18
NM_001258453.1	FBXO18
NM_001258454.1	TNIP1
NM_001258455.1	TNIP1
NM_001258456.1	TNIP1
NM_001258457.2	TBC1D7
NM_001258459.1	PHKG1
NM_001258460.1	PHKG1
NM_001258461.1	FASTK
NM_001258462.1	PAX6
NM_001258463.1	PAX6
NM_001258464.1	PAX6
NM_001258465.1	PAX6
NM_001259.6	CDK6
NM_001260.2	CDK8
NM_001260474.1	WDR4
NM_001260475.1	WDR4
NM_001260476.1	WDR4
NM_001260477.1	WDR4
NM_001260486.1	ZNF155
NM_001260487.1	ZNF155
NM_001260488.1	ZNF155
NM_001260489.1	LSR
NM_001260490.1	LSR
NM_001260491.1	SLC9A8
NM_001260492.1	RDX
NM_001260493.1	RDX
NM_001260494.1	RDX
NM_001260495.1	RDX
NM_001260496.1	RDX
NM_001260497.1	KCNC2
NM_001260498.1	KCNC2
NM_001260499.1	KCNC2
NM_001260502.1	SRP68
NM_001260503.1	SRP68
NM_001260504.1	STK31
NM_001260505.1	STK31
NM_001260506.1	RPS3
NM_001260507.1	RPS3
NM_001260508.1	KCNJ3
NM_001260509.1	KCNJ3
NM_001260510.1	KCNJ3
NM_001260511.1	MGST1
NM_001260512.1	MGST1
NM_001261.3	CDK9
NM_001261380.1	SLC6A9
NM_001261382.1	UEVLD
NM_001261383.1	UEVLD
NM_001261384.1	UEVLD
NM_001261385.1	UEVLD
NM_001261386.1	UEVLD
NM_001261390.1	CALCOCO2
NM_001261391.1	CALCOCO2
NM_001261392.1	NOL10
NM_001261393.1	CALCOCO2
NM_001261394.1	NOL10
NM_001261395.1	CALCOCO2
NM_001261397.1	P2RX4
NM_001261398.1	P2RX4
NM_001261399.2	PRB4
NM_001261400.2	PSMD9
NM_001261401.1	TSN
NM_001261403.2	NFKB2
NM_001261406.1	MPDZ
NM_001261407.1	MPDZ
NM_001261408.1	BCAR3
NM_001261409.1	BCAR3
NM_001261410.1	BCAR3
NM_001261411.1	SFSWAP
NM_001261412.1	DCTN2
NM_001261413.1	DCTN2
NM_001261414.2	SOX5
NM_001261415.2	SOX5
NM_001261418.1	EIF2B3
NM_001261419.1	IL1R2
NM_001261420.1	OS9
NM_001261421.1	OS9
NM_001261422.1	OS9
NM_001261423.1	OS9
NM_001261424.1	PPP1R1C
NM_001261425.1	PPP1R1C
NM_001261427.1	LPIN1
NM_001261428.1	LPIN1
NM_001261429.1	LPIN1
NM_001261430.1	PTGES3L
NM_001261434.1	AARSD1
NM_001261435.1	CDK15
NM_001261436.1	CDK15
NM_001261437.1	ETV4
NM_001261438.1	ETV4
NM_001261439.1	ETV4
NM_001261440.1	EXTL2
NM_001261441.1	EXTL2
NM_001261442.1	EXTL2
NM_001261443.1	GNAL
NM_001261444.1	GNAL
NM_001261447.1	GPM6A
NM_001261448.1	GPM6A
NM_001261450.2	UCK1
NM_001261451.2	UCK1
NM_001261452.1	GPR1
NM_001261453.1	GPR1
NM_001261454.1	GPR1
NM_001261455.1	GPR1
NM_001261456.1	LY9
NM_001261457.1	LY9
NM_001261458.1	ZNF484
NM_001261459.1	ZNF484
NM_001261460.1	ZNF484
NM_001261461.1	NFE2
NM_001261462.2	SPRTN
NM_001261464.1	ADAM15
NM_001261465.1	ADAM15
NM_001261466.1	ADAM15
NM_001261467.1	NSRP1
NM_001261816.1	PDPK1
NM_001261817.1	TCP11
NM_001261818.1	TCP11
NM_001261819.1	TCP11
NM_001261820.1	TCP11
NM_001261821.1	TCP11
NM_001261822.1	CRISP2
NM_001261823.1	SUPT3H
NM_001261824.1	PSMG1
NM_001261825.1	OASL
NM_001261826.1	AP3D1
NM_001261827.1	MS4A14
NM_001261828.1	MS4A14
NM_001261829.1	RIOX2
NM_001261830.1	SERPINB7
NM_001261831.1	SERPINB7
NM_001261832.1	ASH2L
NM_001261833.1	JRKL
NM_001261834.1	TBRG4
NM_001261835.1	TSPOAP1
NM_001261836.1	PTER
NM_001261837.1	PTER
NM_001261838.1	PTER
NM_001261839.1	TTPAL
NM_001261840.1	BRE
NM_001261841.1	TMC5
NM_001261843.1	ZNF623
NM_001261844.1	TESPA1
NM_001262.2	CDKN2C
NM_001263.3	CDS1
NM_001264.4	CDSN
NM_001264573.1	KIF18B
NM_001265.4	CDX2
NM_001265577.1	KIF18B
NM_001265578.1	FAM13A
NM_001265579.1	FAM13A
NM_001265580.1	FAM13A
NM_001265581.1	TTI2
NM_001265582.1	URM1
NM_001265587.1	INSL3
NM_001265588.1	ZNF267
NM_001265589.1	RTN3
NM_001265590.1	RTN3
NM_001265591.1	RTN3
NM_001265592.1	PLEKHG5
NM_001265593.1	PLEKHG5
NM_001265594.1	PLEKHG5
NM_001265595.1	PFDN6
NM_001265596.1	PFDN6
NM_001265597.2	ZNF211
NM_001265598.2	ZNF211
NM_001265599.2	ZNF211
NM_001265600.2	ZNF211
NM_001265601.1	RPP38
NM_001265602.1	SMC2
NM_001265603.1	MORF4L1
NM_001265604.1	MORF4L1
NM_001265605.1	MORF4L1
NM_001265608.1	TRAK1
NM_001265609.1	TRAK1
NM_001265610.1	TRAK1
NM_001265611.1	MAPKBP1
NM_001265612.1	CNOT1
NM_001265613.1	MYBPHL
NM_001265614.2	SLC25A25
NM_001265615.1	FAM153B
NM_001266.4	CES1
NM_001267.2	CHAD
NM_001267033.1	MZF1
NM_001267035.1	PWWP2A
NM_001267036.1	SLC7A8
NM_001267037.1	SLC7A8
NM_001267038.1	CENPK
NM_001267039.1	LARP7
NM_001267040.1	JARID2
NM_001267041.2	ARMC8
NM_001267042.2	ARMC8
NM_001267043.1	AEBP2
NM_001267044.1	COL4A2-AS2
NM_001267045.1	PSME3
NM_001267046.1	FRMD6
NM_001267047.1	FRMD6
NM_001267048.1	KIAA1324
NM_001267050.1	GPR155
NM_001267051.1	GPR155
NM_001267052.1	UNC45B
NM_001267053.3	RIBC1
NM_001267056.1	CASP7
NM_001267057.1	CASP7
NM_001267058.1	CASP7
NM_001267059.1	SNX17
NM_001267060.1	SNX17
NM_001267061.1	SNX17
NM_001267062.1	PLEKHB2
NM_001267063.1	PLEKHB2
NM_001267064.1	PLEKHB2
NM_001267065.1	PLEKHB2
NM_001267066.1	PLEKHB2
NM_001267067.1	PLEKHB2
NM_001267068.1	PLEKHB2
NM_001267536.2	GOLGA6L4
NM_001267544.2	ARFRP1
NM_001267545.2	ARFRP1
NM_001267546.2	ARFRP1
NM_001267547.2	ARFRP1
NM_001267548.2	ARFRP1
NM_001267549.2	ARFRP1
NM_001267550.2	TTN
NM_001267551.1	PEMT
NM_001267552.1	PEMT
NM_001267554.1	F7
NM_001267556.1	PDCD6
NM_001267557.1	PDCD6
NM_001267558.1	PDCD6
NM_001267559.1	PDCD6
NM_001267560.1	TJP3
NM_001267561.1	TJP3
NM_001267562.1	CREM
NM_001267563.1	CREM
NM_001267564.1	CREM
NM_001267565.1	CREM
NM_001267566.1	CREM
NM_001267567.1	CREM
NM_001267568.1	CREM
NM_001267569.1	CREM
NM_001267570.1	CREM
NM_001267571.1	TBC1D2
NM_001267572.1	TBC1D2
NM_001267574.2	EIF3C
NM_001267576.1	USP43
NM_001267578.1	TOR1AIP1
NM_001267580.1	PRC1
NM_001267582.1	GABRR1
NM_001267584.1	UBOX5
NM_001267585.1	FBXW10
NM_001267586.1	FBXW10
NM_001267594.1	SENP1
NM_001267595.1	SENP1
NM_001267597.1	ZNF248
NM_001267598.1	MGST1
NM_001267605.1	ZNF248
NM_001267606.1	ZNF248
NM_001267607.1	ZNF248
NM_001267608.1	FAM189B
NM_001267609.1	GPR161
NM_001267610.1	GPR161
NM_001267611.1	GPR161
NM_001267612.1	GPR161
NM_001267613.1	GPR161
NM_001267614.1	GPR161
NM_001267615.1	SLC4A8
NM_001267616.1	ARPP21
NM_001267617.1	ARPP21
NM_001267618.1	ARPP21
NM_001267619.1	ARPP21
NM_001267623.1	ITPA
NM_001267698.1	CD63
NM_001267699.1	RPS3A
NM_001267700.1	PHB2
NM_001267701.1	CLECL1
NM_001267706.1	CD274
NM_001267708.1	ZNF706
NM_001267709.1	ZNF706
NM_001267713.1	IL3RA
NM_001267716.1	ZNF728
NM_001267718.1	IL11
NM_001267721.1	NOXO1
NM_001267722.1	SRP72
NM_001267723.1	CCDC61
NM_001267727.1	ARSG
NM_001267728.1	ING1
NM_001267774.1	IFT20
NM_001267775.1	IFT20
NM_001267776.1	IFT20
NM_001267777.1	IFT20
NM_001267778.1	IFT20
NM_001267779.1	ZNF850
NM_001267782.1	AMBRA1
NM_001267783.1	AMBRA1
NM_001267797.1	MED24
NM_001267798.1	PTPRC
NM_001267803.1	PAAF1
NM_001267804.1	PAAF1
NM_001267805.1	PAAF1
NM_001267806.1	PAAF1
NM_001267809.1	ILF2
NM_001267810.1	EIF6
NM_001267812.1	SLC12A9
NM_001267814.1	SLC12A9
NM_001267817.1	OSTC
NM_001267818.1	OSTC
NM_001267822.1	ZMYND15
NM_001267827.1	ZNF839
NM_001267828.1	ZNF839
NM_001267843.1	CLOCK
NM_001267863.1	SLIRP
NM_001267864.1	SLIRP
NM_001267865.1	C7orf57
NM_001267866.1	C7orf57
NM_001267868.1	HSD11B1L
NM_001267869.1	HSD11B1L
NM_001267870.1	HSD11B1L
NM_001267871.1	HSD11B1L
NM_001267895.1	EMID1
NM_001268.3	RCBTB2
NM_001268284.2	LRRC8E
NM_001268285.2	LRRC8E
NM_001269.4	RCC1
NM_001269039.2	SHOC2
NM_001269040.1	CTCFL
NM_001269041.1	CTCFL
NM_001269042.1	CTCFL
NM_001269043.1	CTCFL
NM_001269044.1	CTCFL
NM_001269045.1	CTCFL
NM_001269046.1	CTCFL
NM_001269047.1	CTCFL
NM_001269048.1	CTCFL
NM_001269049.1	CTCFL
NM_001269050.1	CTCFL
NM_001269051.1	CTCFL
NM_001269052.1	CTCFL
NM_001269053.1	DYDC1
NM_001269054.1	CTCFL
NM_001269055.1	CTCFL
NM_001270.2	CHD1
NM_001270040.1	REG3G
NM_001270041.1	DYDC2
NM_001270042.1	DYDC2
NM_001270362.1	RAD23A
NM_001270363.1	RAD23A
NM_001270364.1	ALDH1L1
NM_001270365.1	ALDH1L1
NM_001270366.1	PLPPR3
NM_001270367.1	TMEM254
NM_001270368.1	TMEM254
NM_001270369.1	TMEM254
NM_001270370.1	TMEM254
NM_001270371.1	TMEM254
NM_001270372.1	TMEM254
NM_001270373.1	TMEM254
NM_001270374.1	TMEM254
NM_001270375.1	MMD2
NM_001270377.1	ANKRD46
NM_001270378.1	ANKRD46
NM_001270379.1	ANKRD46
NM_001270380.1	XRRA1
NM_001270381.1	XRRA1
NM_001270383.1	ENKUR
NM_001270384.1	MIGA1
NM_001270391.1	RASSF6
NM_001270392.1	RASSF6
NM_001270393.1	PKIB
NM_001270394.1	PKIB
NM_001270395.1	PKIB
NM_001270396.1	GLIPR1L2
NM_001270397.1	G6PC
NM_001270398.1	PTK7
NM_001270399.1	TUBA1A
NM_001270400.1	TUBA1A
NM_001270401.1	RXRB
NM_001270402.2	KCNE1
NM_001270403.2	KCNE1
NM_001270404.2	KCNE1
NM_001270405.2	KCNE1
NM_001270406.1	APOBEC3A
NM_001270407.1	JAM2
NM_001270408.1	JAM2
NM_001270409.1	LIN9
NM_001270410.1	LIN9
NM_001270411.1	APOBEC3B
NM_001270419.1	DUS4L
NM_001270420.1	CFC1
NM_001270421.1	CFC1
NM_001270422.1	KCNJ16
NM_001270424.1	DHRS12
NM_001270425.1	MAP4K3
NM_001270427.1	PSMD5
NM_001270428.1	LMO1
NM_001270433.1	CDK2AP1
NM_001270434.1	CDK2AP1
NM_001270436.1	CDC42EP3
NM_001270437.1	CDC42EP3
NM_001270438.1	CDC42EP3
NM_001270439.1	ARPC5
NM_001270440.1	RTBDN
NM_001270441.1	RTBDN
NM_001270442.1	RTBDN
NM_001270443.1	RTBDN
NM_001270444.1	RTBDN
NM_001270445.1	RTBDN
NM_001270447.1	ACADVL
NM_001270448.1	ACADVL
NM_001270449.1	UBE3B
NM_001270450.1	UBE3B
NM_001270451.1	UBE3B
NM_001270452.1	PRSS21
NM_001270453.1	WWP2
NM_001270454.1	WWP2
NM_001270455.1	WWP2
NM_001270458.1	MAOA
NM_001270459.1	ST3GAL3
NM_001270460.1	ST3GAL3
NM_001270461.1	ST3GAL3
NM_001270462.1	ST3GAL3
NM_001270463.1	ST3GAL3
NM_001270464.1	ST3GAL3
NM_001270465.1	ST3GAL3
NM_001270466.1	ST3GAL3
NM_001270467.1	SOCS2
NM_001270468.1	SOCS2
NM_001270469.1	SOCS2
NM_001270470.1	SOCS2
NM_001270471.1	SOCS2
NM_001270472.1	MCM3
NM_001270473.1	CENPN
NM_001270474.1	CENPN
NM_001270476.1	PPP2R5D
NM_001270481.1	PSMB6
NM_001270482.1	PSMD11
NM_001270483.1	TST
NM_001270484.1	T
NM_001270485.1	CAMKK2
NM_001270486.1	CAMKK2
NM_001270488.1	TAF11
NM_001270490.1	RPL18
NM_001270491.1	RPL13A
NM_001270492.1	SREK1
NM_001270497.1	ZNF334
NM_001270500.1	CA6
NM_001270501.1	CA6
NM_001270502.1	CA6
NM_001270507.1	TNFAIP3
NM_001270508.1	TNFAIP3
NM_001270509.1	CHIT1
NM_001270517.1	APITD1-CORT
NM_001270519.1	LATS1
NM_001270520.1	DAAM1
NM_001270521.1	MED23
NM_001270522.1	MED23
NM_001270523.1	OTX2
NM_001270524.1	OTX2
NM_001270525.1	OTX2
NM_001270526.1	STOM
NM_001270527.1	STOM
NM_001270528.1	RNF111
NM_001270529.1	RNF111
NM_001270530.1	RNF111
NM_001270531.1	WTAP
NM_001270532.1	WTAP
NM_001270533.1	WTAP
NM_001270539.1	PEX11G
NM_001270546.1	AKAP13
NM_001270550.1	MDK
NM_001270551.1	MDK
NM_001270552.1	MDK
NM_001270572.1	CSNK1G3
NM_001270573.1	CSNK1G3
NM_001270574.1	CSNK1G3
NM_001270584.1	IQCA1
NM_001270585.1	IQCA1
NM_001270601.1	ASCL5
NM_001270614.1	DEDD2
NM_001270615.1	DEDD2
NM_001270616.1	PROX1
NM_001270622.1	SLC16A7
NM_001270623.1	SLC16A7
NM_001270629.1	MED4
NM_001270639.1	JOSD2
NM_001270640.1	JOSD2
NM_001270641.1	JOSD2
NM_001270643.1	LUC7L2
NM_001270648.1	SLC5A10
NM_001270649.1	SLC5A10
